Date,Trading Day,Open,High,Low,Close,Volume,Adj Close
1/2/1998,1,70.69,72.62,70.5,72.62,40927200,16.94
1/5/1998,4,73.06,75.14,72,74.5,78368400,17.37
1/6/1998,5,73.87,74.31,72.69,73.12,48313600,17.05
1/7/1998,6,72.75,73.62,71.56,72.75,55380800,16.97
1/8/1998,7,72.25,74.81,72.12,74.31,75730400,17.33
1/9/1998,8,74.56,75,71.23,71.87,88028800,16.76
1/12/1998,11,70.81,75.69,70.69,75.62,123747600,17.64
1/13/1998,12,76.37,77.25,76.25,76.94,97348000,17.94
1/14/1998,13,77,77.06,74.37,75.44,123962000,17.59
1/15/1998,14,74.87,76.37,74.62,75.31,53458400,17.56
1/16/1998,15,75.81,75.87,74.62,74.81,59281200,17.45
1/20/1998,19,75.12,76.31,74.87,76.25,49972000,17.78
1/21/1998,20,75.44,77.69,75.37,76.69,69415200,17.89
1/22/1998,21,76,77.5,75.94,76.5,49898000,17.84
1/23/1998,22,76.87,77.87,76.5,77.19,56184800,18
1/26/1998,25,77,78,77,77.69,44695200,18.12
1/27/1998,26,77.87,79.56,77.37,79.19,58713200,18.47
1/28/1998,27,79.75,81.44,79.5,80.87,67063600,18.87
1/29/1998,28,80.31,82.87,80.25,82,72366400,19.13
1/30/1998,29,82.5,82.75,80.87,81,45384000,18.9
2/2/1998,32,82.5,83.61,82.19,83.06,62426000,19.38
2/3/1998,33,84,87.12,83.62,86.31,99884400,20.14
2/4/1998,34,86.12,88.31,85.62,87.56,75391600,20.43
2/5/1998,35,88.75,90.06,86.12,86.5,97320800,20.18
2/6/1998,36,85.75,88,85.62,87.55,52042800,20.43
2/9/1998,39,87.44,87.87,85.44,85.81,45804400,20.02
2/10/1998,40,85.44,87.81,85.06,86.25,59575200,20.12
2/11/1998,41,85.69,86.06,84.25,85.06,64918000,19.85
2/12/1998,42,83.87,85.25,82.75,85,70388800,19.83
2/13/1998,43,84.37,84.94,83.81,83.81,39093600,19.55
2/17/1998,47,84.62,84.94,83.94,84.62,41481600,19.74
2/18/1998,48,84.37,87,84.25,86.94,65802800,20.28
2/19/1998,49,89,91.12,88.12,90.56,136295200,21.13
2/20/1998,50,91.25,92.37,90.5,91.81,98482000,21.42
2/23/1998,53,93,94.62,92.37,94.19,68921200,21.98
2/24/1998,54,94.12,95.62,92.25,92.37,75785200,21.55
2/25/1998,55,92.69,94.37,92.62,94,49980000,21.93
